state,value
Arizona,5000
California,3110
Idaho,2000
Indiana,500
Nebraska,1000
New Jersey,1000
New York,1400
Ohio,21500
Oregon,438727.01
Pennsylvania,1500
Rhode Island,500
Texas,2500
Virginia,2250
Washington,11805
,
,
,
,
,
,
,
