state,value
Arizona,1297.75
California,5696.5
Colorado,12988.76
Connecticut,33.42
Maryland,250
Florida,8735
Georgia,571.55
Idaho,1957
Illinois,1040.97
Louisiana,4514.34
Nassachusets,1000
Minnesota,303.95
Nebraska,8132.21
Nevada,19892.31
Oregon,397359.24
Texas,33482.86
Utah,1903.04
Virginia,502.5
Washington,420.2
